client_id,gender,region,city_type,income_group,employment_type,digital_adoption_level,registration_month_offset,age_base,customer_segment,salary_project_flag,estimated_monthly_income,snapshot_date,client_tenure_days,client_age,active_products_count,closed_products_count,product_diversity_score,has_debit_card,has_credit_card,has_deposit,has_loan,has_mobile_app,has_savings_account,days_since_last_product_open,days_since_last_product_close,txn_count_30d,txn_count_60d,txn_count_90d,txn_count_180d,txn_sum_30d,txn_sum_60d,txn_sum_90d,txn_sum_180d,txn_avg_amount_30d,txn_avg_amount_90d,txn_max_amount_90d,successful_txn_rate_90d,failed_txn_count_90d,active_txn_days_30d,active_txn_days_90d,days_since_last_txn,cash_withdrawal_count_90d,card_purchase_count_90d,p2p_transfer_count_90d,utility_payment_count_90d,mobile_txn_share_90d,atm_txn_share_90d,branch_txn_share_90d,txn_count_prev30,txn_count_last30,txn_count_change_30d,txn_count_change_pct_30d,txn_sum_prev30,txn_sum_last30,txn_sum_change_30d,txn_sum_change_pct_30d,app_login_count_30d,app_login_count_60d,app_login_count_90d,app_events_count_30d,app_events_count_90d,unique_app_event_types_90d,active_app_days_90d,days_since_last_app_login,days_since_last_app_event,transfer_created_count_90d,payment_created_count_90d,balance_view_count_90d,support_chat_opened_count_90d,loan_offer_view_count_90d,app_login_prev30,app_login_last30,app_login_change_30d,app_login_change_pct_30d,tickets_count_30d,tickets_count_90d,complaints_count_90d,critical_tickets_count_90d,open_tickets_count,escalated_tickets_count_90d,avg_satisfaction_score_90d,min_satisfaction_score_90d,days_since_last_ticket,days_since_last_complaint,marketing_contacts_30d,marketing_contacts_90d,retention_contacts_90d,campaign_open_rate_90d,campaign_click_rate_90d,push_contacts_90d,sms_contacts_90d,email_contacts_90d,call_contacts_90d,days_since_last_marketing_contact,estimated_revenue_3m,estimated_revenue_6m,estimated_cost_3m,net_value_3m,avg_balance_3m,avg_balance_6m,value_segment,target_churn_60d,future_txn_count_60d,future_app_login_count_60d,future_product_open_count_60d,activity_segment,complaint_segment,digital_segment
2145,M,Astana,small_city,high,employee,low,32,31,affluent,1,736415.8555020891,2024-01-01,960,31,3,0,3,1,1,0,0,0,1,662,,7,20,35,61,224871.06601286185,474134.0662644849,646462.6220567196,1498145.7981662068,32124.438001837407,18470.36063019199,53826.26049849206,0.9754763362177548,0,7,11,24,5,15,7,3,0.5539532181845598,0.3939764510776865,0.0520703307377536,10,7,-3,-0.3,234629.31131514627,224871.06601286185,-9758.245302284427,-0.0415900521873734,0,3,6,4,15,7,15,61,52,1,1,5,1,0,3,0,-3,-1.0,0,1,0,0,0,0,4.083771870063272,3.0,86.0,,0,0,0,,,0,0,0,0,,18278.781923555507,37174.09181544487,4764.104386748464,13514.677536807045,1994226.4499892152,1887816.192235912,medium_value,0,8,0,0,activity_drop,no_recent_complaints,low_digital_engagement
2296,M,Almaty,rural,medium,entrepreneur,medium,31,19,sme_owner,0,197384.01694432303,2024-01-01,930,19,5,0,4,1,0,0,1,1,0,512,,10,17,25,57,60925.35240362647,130088.43778507896,146692.04317869138,415290.1090713738,6092.535240362648,5867.681727147656,11862.43973641737,0.9937339209087264,0,10,25,12,3,6,5,2,0.6007168599749158,0.2525968713568299,0.1466862686682542,11,10,-1,-0.0909090909090909,69805.76434850514,60925.35240362647,-8880.411944878666,-0.1272160261800619,1,6,7,9,19,6,15,24,13,2,2,5,0,1,1,1,0,0.0,0,0,0,0,0,0,,,,,0,1,0,0.1037404399272727,0.0489164826181565,1,0,0,0,34.0,9211.087406009525,20099.759311706897,5767.052397240451,3444.035008769072,109405.81305791288,95200.76863048998,low_value,0,11,4,0,transaction_active,no_recent_complaints,medium_digital_engagement
1834,M,Shymkent,rural,medium,employee,low,71,30,mass,1,331803.07617840124,2024-01-01,2130,30,2,2,1,0,0,0,0,0,1,833,509.0,9,16,23,44,116913.18534461816,211046.4988841212,217090.96086782767,576485.359651669,12990.353927179794,9438.737429035986,33885.004209884144,0.9858351183861368,1,9,23,40,3,5,5,2,0.5501835471943297,0.3808604536947129,0.0689559991109575,14,9,-5,-0.3571428571428571,177177.94530099176,116913.18534461816,-60264.759956373615,-0.34013691633005,1,3,4,3,12,1,12,38,49,1,2,4,0,1,3,1,-2,-0.6666666666666666,1,1,0,0,0,0,3.328883918627757,2.0,29.0,,0,2,1,0.3742883760983286,0.1526646879811457,1,0,1,0,20.0,8709.885792227842,17401.0464351344,3591.857831481629,5118.027960746213,1167647.105569051,1057827.3203735542,medium_value,0,11,1,0,activity_drop,no_recent_complaints,low_digital_engagement
1356,M,Almaty,medium_city,low,employee,medium,19,40,mass,0,75610.2975314457,2024-01-01,570,40,0,0,0,1,0,0,1,1,0,52,,5,12,14,24,16751.815851035764,33679.46754166532,40322.77513654512,123919.45643750396,3350.363170207153,2880.198224038937,5376.043567819562,0.928578062581842,0,5,14,68,1,7,2,2,0.6279759180911606,0.2098745017562497,0.1621495801525897,7,5,-2,-0.2857142857142857,26810.57671275974,16751.815851035764,-10058.760861723977,-0.3751788322008303,6,9,13,17,32,8,20,21,65,4,4,4,1,2,8,6,-2,-0.25,0,0,0,0,0,0,,,,,0,1,0,0.1314553161504136,0.0467007562477597,0,0,0,0,19.0,203.3748966796481,467.2598367185795,2288.929666858745,-2085.5547701790965,386025.8844287787,414496.4020889342,low_value,0,5,9,0,moderate_activity,no_recent_complaints,medium_digital_engagement
811,M,South_KZ,medium_city,high,employee,medium,68,43,affluent,0,473528.60727199423,2024-01-01,2040,43,2,0,2,0,0,0,0,1,0,126,,8,12,13,33,383420.4055356968,420378.7188056059,537860.9751988926,1279354.3646359823,47927.5506919621,41373.92116914559,51878.77040013126,0.977181353795536,0,8,13,61,2,6,3,1,0.8178447441867066,0.0509974196160818,0.1311578361972115,9,8,-1,-0.1111111111111111,320311.08923964173,383420.4055356968,63109.3162960551,0.1970250747355164,7,12,14,17,22,8,22,28,9,2,2,4,0,1,9,7,-2,-0.2222222222222222,0,0,0,0,0,0,,,,,0,0,0,,,0,0,0,0,,9752.590810859483,17744.98140516537,3991.1802592724007,5761.410551587084,685708.0674700738,587300.363302344,medium_value,0,8,4,0,moderate_activity,no_recent_complaints,medium_digital_engagement
2248,F,Karaganda,large_city,high,entrepreneur,medium,30,55,affluent,0,574188.047502215,2024-01-01,900,55,4,0,1,1,0,1,1,1,0,562,,5,13,21,42,149093.31570757306,416405.4033881087,722741.0236686567,1581708.841417203,29818.66314151461,34416.23922231699,91744.19549757698,0.9471948778989564,5,5,21,2,3,5,2,3,0.6075049675975578,0.1046930292222739,0.2878020031801682,7,5,-2,-0.2857142857142857,232634.7657053281,149093.31570757306,-83541.44999775503,-0.3591099109561923,5,8,10,16,24,2,14,4,46,4,3,10,1,1,6,5,-1,-0.1666666666666666,0,0,0,0,0,0,,,,,1,1,0,0.428246720583788,0.1753057051386418,0,1,1,0,77.0,15876.629139471845,34083.32712539508,3551.6825112721654,12324.94662819968,1924423.7643139623,1650147.046163445,medium_value,0,11,2,0,transaction_active,no_recent_complaints,medium_digital_engagement
1289,M,Astana,large_city,medium,employee,low,49,49,mass,0,537154.2616269069,2024-01-01,1470,49,3,2,1,0,0,0,0,0,1,330,298.0,1,8,12,32,15984.032870952524,203802.1449233001,289327.82744764426,798614.4781118628,15984.032870952524,24110.65228730369,44635.54636947939,0.9572526229892256,0,1,12,20,2,2,2,2,0.3497320710966352,0.6135423161369685,0.0367256127663963,6,1,-5,-0.8333333333333334,107640.14754057876,15984.032870952524,-91656.11466962624,-0.8515049148838562,0,0,0,0,0,1,0,230,187,0,0,0,0,0,6,0,-6,-1.0,0,1,0,0,0,0,3.740515832990521,3.0,24.0,,0,0,0,,,0,0,0,0,,12525.985503582984,24157.0406043743,3659.0373373443217,8866.948166238662,844619.2393604062,880357.3457252325,medium_value,1,0,0,0,activity_drop,no_recent_complaints,low_digital_engagement
663,M,Almaty,medium_city,low,unemployed,high,49,61,mass,0,156772.7464252187,2024-01-01,1470,61,2,1,2,1,0,0,0,1,0,828,359.0,7,12,17,32,45443.01476087006,88347.20534319253,111152.50075367128,240062.7417424216,6491.859251552865,6538.382397274781,23182.00194660302,0.9819747850159954,0,4,11,59,1,4,2,2,0.483065105246339,0.3561988503450225,0.1607360444086384,12,7,-5,-0.4166666666666667,81611.23287685555,45443.01476087006,-36168.21811598549,-0.4431769603402545,4,7,11,16,44,2,26,57,67,2,3,11,2,3,6,4,-2,-0.3333333333333333,0,1,0,0,0,0,3.0392879901274217,2.0,88.0,,1,4,1,0.2084586153772983,0.0822843747077045,2,0,0,1,49.0,5971.756684993457,11488.203494246138,2948.937431034695,3022.8192539587626,54671.7863723663,51260.870860343,low_value,0,4,2,0,transaction_active,no_recent_complaints,medium_digital_engagement
508,F,Almaty,large_city,high,employee,medium,33,41,affluent,1,648914.0656545828,2024-01-01,990,41,6,2,4,1,1,0,1,1,1,193,881.0,10,25,34,63,159457.96292267725,513750.73239887913,689602.7755586572,1053130.93868254,15945.796292267723,20282.434575254625,38259.39898555935,0.9256952704596126,0,10,34,47,6,17,8,5,0.2719701938733563,0.4708193301598441,0.2572104759667994,13,10,-3,-0.2307692307692307,165843.75778328747,159457.96292267725,-6385.794860610215,-0.0385048852363482,5,9,14,8,36,5,5,29,64,3,2,4,1,2,7,5,-2,-0.2857142857142857,0,2,1,0,0,0,2.220844649143704,1.0,85.0,13.0,2,3,1,0.2991978884777588,0.1425737625844439,2,0,1,0,5.0,20769.713417782223,41288.56879925035,6672.208555402503,14097.504862379725,1737395.8671341343,1937560.679441276,medium_value,0,21,5,0,transaction_active,complaint_risk,medium_digital_engagement
319,M,Shymkent,large_city,premium,unemployed,medium,30,50,premium,0,1352087.7038520952,2024-01-01,900,50,5,1,5,1,0,0,0,1,0,321,509.0,10,21,27,55,665913.0163425123,1734638.0962878542,1795716.679230909,3881797.5811100057,66591.30163425123,66508.02515670034,192623.81214347773,1.0,0,10,27,53,5,10,5,3,0.9318200228829646,0.0639498831397615,0.0042300939772739,10,10,0,0.0,805360.6603666863,665913.0163425123,-139447.64402417396,-0.1731493117141859,5,10,14,10,24,1,24,1,53,4,1,10,0,1,7,5,-2,-0.2857142857142857,0,1,1,0,0,0,3.6133706441966313,3.0,40.0,28.0,1,1,0,0.1196639219562631,0.0139391479596492,0,0,1,0,21.0,32282.660050608032,60749.58717770809,4629.006702528577,27653.653348079453,2394262.417499696,2503853.7512920657,high_value,0,14,7,0,transaction_active,complaint_risk,medium_digital_engagement
