risk_decile,customers,churners,churn_rate,min_score,max_score,avg_score,churners_captured_share,lift
D10,11963,7687,0.6425645741034858,0.22083167441986412,0.9928601519901143,0.5947762200611312,0.7910063799135625,7.910129920207256
D9,11963,1274,0.10649502633118783,0.060199487233462544,0.22076234298896724,0.11405227072514039,0.13109693352541676,1.310980293787439
D8,11963,422,0.03527543258380005,0.02440443103627696,0.0601976766156699,0.03910782897744752,0.04342457295739864,0.43424935948061166
D7,11963,159,0.013290980523280115,0.00967258663110236,0.024402472430299783,0.01608170173050917,0.016361391232763943,0.16361527999387976
D6,11963,67,0.005600601855721809,0.004138776819168014,0.009671984598975673,0.0064233094977197034,0.006894422720724429,0.06894480351943359
D5,11963,56,0.004681100058513751,0.001995353084284372,0.0041386407782540175,0.002929603473779315,0.005762502572545791,0.05762550741922808
D4,11963,29,0.0024241411017303354,0.000914239551378427,0.001995218661890814,0.0014047184170424512,0.002984153117925499,0.029841780627814545
D3,11963,16,0.0013374571595753573,0.0003152356569149052,0.0009141970190096381,0.000583324105720666,0.0016464293064416546,0.016464430691208023
D2,11963,5,0.00041795536236729916,6.812711241925405e-05,0.000315226595279222,0.00016582260353559586,0.0005145091582630171,0.005145134591002507
D1,11964,3,0.00025075225677031093,1.671031526731606e-07,6.811961249389812e-05,2.8744831365213178e-05,0.00030870549495781024,0.0030868227237794885
