feature,importance
num__app_events_count_90d,1.8430133423401087
num__salary_project_flag,1.5939697481462107
num__active_app_days_90d,1.4636204826620933
cat__value_segment_premium_value,1.411853687357748
cat__value_segment_medium_value,1.2214478167398408
num__app_events_count_30d,1.1501042508560169
num__net_value_3m,1.0943735601239715
cat__value_segment_low_value,1.0887621660135443
num__estimated_revenue_3m,1.070940420132193
num__estimated_revenue_6m,1.0063556694008227
cat__complaint_segment_complaint_risk,0.7919896315029502
num__estimated_monthly_income,0.7007837720260489
cat__gender_M,0.687746388805926
cat__gender_F,0.655854820789552
cat__activity_segment_digital_active,0.6400752190544652
cat__complaint_segment_no_recent_complaints,0.5516115780724362
cat__activity_segment_activity_drop,0.5274786069394604
cat__digital_segment_low_digital_engagement,0.5112494586081325
cat__digital_adoption_level_medium,0.4832690003077402
cat__digital_segment_medium_digital_engagement,0.4777658649925178
cat__digital_adoption_level_high,0.471330603025497
cat__employment_type_student,0.4486860267432429
cat__value_segment_high_value,0.44524491417924605
cat__customer_segment_mass,0.4212715797112536
cat__activity_segment_moderate_activity,0.42046523591068136
cat__activity_segment_transaction_active,0.4100332397615766
cat__income_group_high,0.4058659297922285
cat__income_group_low,0.4017469045217957
cat__digital_adoption_level_low,0.389001606201044
num__txn_count_180d,0.3807201458837932
cat__digital_segment_digital_power_user,0.3545858859688892
cat__customer_segment_pensioner,0.34479030192593463
cat__city_type_small_city,0.34273059128164834
cat__city_type_medium_city,0.34252132505032623
cat__city_type_large_city,0.3340558250468103
num__active_txn_days_30d,0.33203635336024756
cat__city_type_rural,0.3242934681633249
cat__customer_segment_sme_owner,0.3172641439189016
num__avg_balance_6m,0.2845616869170074
cat__income_group_medium,0.2802871936002501
cat__income_group_premium,0.25570118167575245
cat__customer_segment_premium,0.25570118167575245
num__unique_app_event_types_90d,0.24480834987392425
cat__employment_type_retired,0.23321303048710298
num__txn_sum_90d,0.2167714274027101
cat__region_North_KZ,0.20553219275792167
num__txn_count_last30,0.20171141058119105
num__txn_count_30d,0.20171141058119105
cat__employment_type_entrepreneur,0.19747371178560977
cat__region_South_KZ,0.19485209369469894
num__txn_count_change_pct_30d,0.19254633892641654
cat__region_East_KZ,0.18466697234264698
num__active_txn_days_90d,0.18199356630732108
num__txn_count_90d,0.1701267876168181
cat__activity_segment_inactive_recently,0.16561538742592496
cat__employment_type_unemployed,0.16551230810156928
num__txn_count_60d,0.1616211333143948
cat__region_Almaty,0.15602256139863996
cat__employment_type_employee,0.1545126921570924
cat__region_Astana,0.1514234140698326
cat__employment_type_self_employed,0.1442034402896623
cat__region_Shymkent,0.13970577099838
cat__region_Karaganda,0.13217190465734682
num__min_satisfaction_score_90d,0.12847567443387503
num__avg_balance_3m,0.12817608731173794
num__avg_satisfaction_score_90d,0.12610176072458365
num__txn_sum_180d,0.12518662521457258
num__txn_count_change_30d,0.12009983292510178
cat__region_Atyrau,0.11911098165321243
num__closed_products_count,0.10929026677215524
num__app_login_change_pct_30d,0.10347683102390301
num__active_products_count,0.10296292358350576
num__product_diversity_score,0.10296292358350576
num__balance_view_count_90d,0.09353391918731618
num__txn_max_amount_90d,0.07832439168821313
num__app_login_count_90d,0.07377626106289205
num__txn_count_prev30,0.06525651303329849
num__support_chat_opened_count_90d,0.061829364646651085
num__app_login_last30,0.06158305924264252
num__app_login_count_30d,0.06158305924264252
cat__region_Aktobe,0.06011531797176806
num__days_since_last_marketing_contact,0.05728155861177598
num__txn_avg_amount_30d,0.05560765568441835
num__txn_sum_last30,0.053493269865046496
num__txn_sum_30d,0.053493269865046496
num__app_login_count_60d,0.05331230339099514
num__tickets_count_90d,0.04976670868056701
num__has_savings_account,0.04927317565868255
num__client_tenure_days,0.048968373994801896
num__txn_sum_60d,0.0451665164895524
num__successful_txn_rate_90d,0.04007976734662813
num__has_debit_card,0.03544026969471111
num__days_since_last_txn,0.034478381966522545
num__estimated_cost_3m,0.034176993662126724
num__days_since_last_app_event,0.03307624291470106
num__has_deposit,0.032738927791550236
num__app_login_change_30d,0.031117736418879192
num__days_since_last_ticket,0.030155530338097612
num__days_since_last_app_login,0.03011385470365647
num__txn_sum_change_30d,0.029010983597902634
num__app_login_prev30,0.0275651424961706
num__txn_avg_amount_90d,0.026112413504459305
num__campaign_open_rate_90d,0.024716401987306486
num__push_contacts_90d,0.023515994855782724
num__marketing_contacts_90d,0.020670482072804985
num__complaints_count_90d,0.020234633746435665
cat__customer_segment_youth,0.019548269999772643
num__call_contacts_90d,0.018843553464612823
num__retention_contacts_90d,0.018449002724896548
num__txn_sum_prev30,0.018123082021473853
num__branch_txn_share_90d,0.01728277720901578
num__marketing_contacts_30d,0.015447767992099579
num__campaign_click_rate_90d,0.015429830481191079
cat__customer_segment_affluent,0.014974267662306147
num__utility_payment_count_90d,0.01489526809552449
num__transfer_created_count_90d,0.01260654110043747
num__days_since_last_product_close,0.012103864524755132
num__txn_sum_change_pct_30d,0.01208150515240758
num__mobile_txn_share_90d,0.01131196173504529
num__loan_offer_view_count_90d,0.010962412458653365
num__has_credit_card,0.009530209869239194
num__atm_txn_share_90d,0.008899943465811758
num__critical_tickets_count_90d,0.00810103829499706
num__has_loan,0.007930091486344448
num__has_mobile_app,0.007545944013437438
num__failed_txn_count_90d,0.0067120478304734795
num__p2p_transfer_count_90d,0.006496458872606589
num__payment_created_count_90d,0.005541946125960212
num__card_purchase_count_90d,0.005116437456239715
num__days_since_last_product_open,0.0036920020700052366
num__tickets_count_30d,0.003058281784146916
num__client_age,0.001527259822028692
num__open_tickets_count,0.0013923741926246526
num__cash_withdrawal_count_90d,0.00133055413494782
num__email_contacts_90d,0.0009903341749926686
num__days_since_last_complaint,0.0004082319897136991
num__escalated_tickets_count_90d,0.0002976444340513506
num__sms_contacts_90d,0.00010581237167015212
