feature,importance
num__net_value_3m,0.11410493634854463
num__estimated_revenue_3m,0.10002842944091526
num__active_txn_days_90d,0.06449753719906114
num__txn_count_60d,0.062410313292476455
num__txn_sum_90d,0.05854722745453101
num__txn_count_90d,0.04826715173405481
num__app_events_count_90d,0.04593323924076411
cat__value_segment_low_value,0.03507802951279954
num__txn_sum_30d,0.031909951888417686
num__txn_sum_last30,0.02964638636139704
cat__activity_segment_inactive_recently,0.02814561872014688
num__txn_sum_60d,0.025133773501348666
num__txn_count_last30,0.02313398931466244
num__txn_count_30d,0.02249658226145129
num__active_app_days_90d,0.021184108099152655
num__app_events_count_30d,0.020229719795363844
num__txn_count_180d,0.019816053504290786
num__days_since_last_txn,0.01882107826944637
num__unique_app_event_types_90d,0.014698483566269826
num__days_since_last_app_event,0.014507465459801626
num__salary_project_flag,0.014145199882958905
num__app_login_count_60d,0.010544115888626398
num__active_txn_days_30d,0.010472482432877397
num__txn_count_change_30d,0.008922036126657226
num__app_login_last30,0.008768663000173215
num__estimated_revenue_6m,0.007684623700949562
num__txn_sum_180d,0.0074207048414354475
num__estimated_monthly_income,0.007219832391525746
cat__activity_segment_moderate_activity,0.006921820986917164
cat__activity_segment_activity_drop,0.006870282289222684
num__app_login_count_90d,0.005817736217192286
num__avg_balance_6m,0.005814167100260049
num__app_login_count_30d,0.0057470716969978426
num__avg_balance_3m,0.005681181195815647
num__txn_sum_change_30d,0.00543331687948132
num__balance_view_count_90d,0.0048739456348375464
num__txn_sum_change_pct_30d,0.004804717293472975
num__client_tenure_days,0.00479663365255788
num__card_purchase_count_90d,0.004633478963638574
num__txn_count_prev30,0.004503039240844644
cat__value_segment_medium_value,0.004300278316886477
num__product_diversity_score,0.003634002598171732
num__txn_sum_prev30,0.0031052871436879005
num__app_login_change_pct_30d,0.003024339048690482
num__app_login_prev30,0.002626160174086511
num__days_since_last_app_login,0.002298564905603201
cat__employment_type_employee,0.002211886904675564
num__estimated_cost_3m,0.0022046780506607406
num__txn_avg_amount_30d,0.0021107905805752697
num__active_products_count,0.0019777450224493067
num__has_debit_card,0.0018486699190777547
cat__digital_adoption_level_high,0.0018339050569052657
cat__digital_segment_medium_digital_engagement,0.0017233400121704173
num__txn_count_change_pct_30d,0.0016400186455855408
cat__digital_segment_low_digital_engagement,0.001400748446426761
cat__digital_adoption_level_low,0.0013485806046504443
num__closed_products_count,0.0012779699799680432
num__mobile_txn_share_90d,0.0012566173720160291
num__txn_max_amount_90d,0.001251201756448678
num__days_since_last_product_open,0.0011378284139077698
num__has_mobile_app,0.0011079425144176903
num__txn_avg_amount_90d,0.0010328792364493742
num__client_age,0.0008939907970331116
num__p2p_transfer_count_90d,0.0008447813162736803
cat__value_segment_high_value,0.0008123211908727912
num__days_since_last_marketing_contact,0.000791464592115524
num__days_since_last_ticket,0.0007750824715257274
cat__income_group_high,0.0006876129354451404
cat__income_group_low,0.0006220389803657148
num__branch_txn_share_90d,0.0006215286746560945
num__marketing_contacts_90d,0.0005624015544011637
num__campaign_open_rate_90d,0.00048043269288657845
num__utility_payment_count_90d,0.0004575334038100855
cat__customer_segment_mass,0.00045494898836421257
num__successful_txn_rate_90d,0.00042684825133446107
cat__digital_adoption_level_medium,0.0004057659438053247
num__days_since_last_product_close,0.00038144732115865727
num__app_login_change_30d,0.00036748834947767295
cat__income_group_medium,0.00035323698285039145
num__payment_created_count_90d,0.000323724899137553
num__has_savings_account,0.0003233660969908082
cat__customer_segment_affluent,0.00030624800884432134
num__atm_txn_share_90d,0.00028239082880882966
num__push_contacts_90d,0.0002803803980834398
num__failed_txn_count_90d,0.0002801593991160928
num__support_chat_opened_count_90d,0.00026888579674897296
num__days_since_last_complaint,0.00025600662465732454
cat__employment_type_entrepreneur,0.0002315930997459557
cat__gender_M,0.000219325831800062
cat__employment_type_self_employed,0.000203825318963144
num__email_contacts_90d,0.00017708421730759614
cat__income_group_premium,0.0001749413873215223
num__sms_contacts_90d,0.0001747707785331529
cat__customer_segment_sme_owner,0.0001709373754939926
num__marketing_contacts_30d,0.00016054072583229174
num__min_satisfaction_score_90d,0.00015420980593122547
cat__employment_type_student,0.0001520133116964844
num__has_credit_card,0.00014505963709826562
cat__customer_segment_youth,0.00013999498428539316
num__cash_withdrawal_count_90d,0.00013763020565775373
num__tickets_count_90d,0.00011323465435679818
cat__region_Almaty,0.0001129084019550235
cat__employment_type_retired,0.00011148570774404777
num__transfer_created_count_90d,0.00010590349870370238
cat__city_type_large_city,0.00010376198241598545
cat__gender_F,8.937400609414788e-05
cat__city_type_medium_city,8.384536081133455e-05
num__avg_satisfaction_score_90d,7.712865652960765e-05
num__retention_contacts_90d,7.324774735844634e-05
cat__customer_segment_premium,6.292215667303307e-05
cat__customer_segment_pensioner,6.210287986024277e-05
cat__region_Astana,6.113577349402586e-05
cat__region_Shymkent,5.9202397782727466e-05
num__call_contacts_90d,5.279557707615876e-05
cat__city_type_small_city,5.1733047491565924e-05
num__loan_offer_view_count_90d,4.657141291042542e-05
cat__complaint_segment_no_recent_complaints,4.247073819937052e-05
cat__region_Aktobe,3.075477820281795e-05
cat__complaint_segment_complaint_risk,2.8514715997809387e-05
num__has_deposit,2.546400534312215e-05
num__has_loan,2.488965611785656e-05
num__open_tickets_count,2.043641556926909e-05
cat__region_Karaganda,1.3472692252234943e-05
cat__city_type_rural,9.061106436978482e-06
cat__employment_type_unemployed,7.765832476878145e-06
cat__region_Atyrau,4.821489662170017e-06
cat__region_East_KZ,2.3583384890827726e-06
num__escalated_tickets_count_90d,1.4543771231485219e-06
num__critical_tickets_count_90d,3.760510155766146e-07
num__campaign_click_rate_90d,1.4323320627861823e-07
cat__region_South_KZ,9.10453702390237e-08
num__tickets_count_30d,0.0
num__complaints_count_90d,0.0
cat__region_North_KZ,0.0
cat__activity_segment_digital_active,0.0
cat__value_segment_premium_value,0.0
cat__activity_segment_transaction_active,0.0
cat__digital_segment_digital_power_user,0.0
