feature,feature_type
client_age,numeric
client_tenure_days,numeric
salary_project_flag,numeric
estimated_monthly_income,numeric
active_products_count,numeric
closed_products_count,numeric
product_diversity_score,numeric
has_debit_card,numeric
has_credit_card,numeric
has_deposit,numeric
has_loan,numeric
has_mobile_app,numeric
has_savings_account,numeric
days_since_last_product_open,numeric
days_since_last_product_close,numeric
txn_count_30d,numeric
txn_count_60d,numeric
txn_count_90d,numeric
txn_count_180d,numeric
txn_sum_30d,numeric
txn_sum_60d,numeric
txn_sum_90d,numeric
txn_sum_180d,numeric
txn_avg_amount_30d,numeric
txn_avg_amount_90d,numeric
txn_max_amount_90d,numeric
successful_txn_rate_90d,numeric
failed_txn_count_90d,numeric
active_txn_days_30d,numeric
active_txn_days_90d,numeric
days_since_last_txn,numeric
cash_withdrawal_count_90d,numeric
card_purchase_count_90d,numeric
p2p_transfer_count_90d,numeric
utility_payment_count_90d,numeric
mobile_txn_share_90d,numeric
atm_txn_share_90d,numeric
branch_txn_share_90d,numeric
txn_count_last30,numeric
txn_count_prev30,numeric
txn_count_change_30d,numeric
txn_count_change_pct_30d,numeric
txn_sum_last30,numeric
txn_sum_prev30,numeric
txn_sum_change_30d,numeric
txn_sum_change_pct_30d,numeric
app_login_count_30d,numeric
app_login_count_60d,numeric
app_login_count_90d,numeric
app_events_count_30d,numeric
app_events_count_90d,numeric
unique_app_event_types_90d,numeric
active_app_days_90d,numeric
days_since_last_app_login,numeric
days_since_last_app_event,numeric
transfer_created_count_90d,numeric
payment_created_count_90d,numeric
balance_view_count_90d,numeric
support_chat_opened_count_90d,numeric
loan_offer_view_count_90d,numeric
app_login_last30,numeric
app_login_prev30,numeric
app_login_change_30d,numeric
app_login_change_pct_30d,numeric
tickets_count_30d,numeric
tickets_count_90d,numeric
complaints_count_90d,numeric
critical_tickets_count_90d,numeric
open_tickets_count,numeric
escalated_tickets_count_90d,numeric
avg_satisfaction_score_90d,numeric
min_satisfaction_score_90d,numeric
days_since_last_ticket,numeric
days_since_last_complaint,numeric
marketing_contacts_30d,numeric
marketing_contacts_90d,numeric
retention_contacts_90d,numeric
campaign_open_rate_90d,numeric
campaign_click_rate_90d,numeric
push_contacts_90d,numeric
sms_contacts_90d,numeric
email_contacts_90d,numeric
call_contacts_90d,numeric
days_since_last_marketing_contact,numeric
estimated_revenue_3m,numeric
estimated_revenue_6m,numeric
estimated_cost_3m,numeric
net_value_3m,numeric
avg_balance_3m,numeric
avg_balance_6m,numeric
gender,categorical
region,categorical
city_type,categorical
income_group,categorical
employment_type,categorical
customer_segment,categorical
digital_adoption_level,categorical
value_segment,categorical
activity_segment,categorical
complaint_segment,categorical
digital_segment,categorical
